username,usercomment
何萱露义,喜欢郑爽杨洋
腾讯用户1472351841010351,好配 好配 好配 重要的事说三遍[稀饭][稀饭][稀饭]
苦涩淡然,看第五遍了
土豆用户_829355686,我突然发现杨阳太帅了，当是李易峰也不错哦
土豆用户_721615811,挺好的
微信用户1474101092498854,喜欢这部电视剧的点赞👍[赞][赞][赞]
腾讯用户1472514508799464,[雷婷_女王]
腾讯用户1474100229404754,支持肖奈和微微个朋友点个赞[赞]
腾讯用户1474100229404754,肖奈大神帅死了，喜欢我就点个赞👍
boby22306217,杨洋好帅，郑爽好美啊！
boby22306217,真好看
k-49213370,这广告都让人等睡了
前往旧时的闪光,太太太太太太好看了，我都快被大神迷倒了，啊啊啊啊，看第二遍了[稀饭][稀饭][稀饭][稀饭][稀饭]
优酷用户14740924295134,大神好闷骚，微微好幸福！
微信用户1474107234395599,帅死了
微信用户1474107234395599,杨洋太帅呢
微信用户1461241545814797,觉得郑爽演的好的赞我哦
ykapp_h8ljivwv,你这不是废话嘛……😄
优酷用户1474105626551744,喜欢郑爽，杨洋。希望有第二季！
腾讯用户1474075410100618,哎哟喂
腾讯用户1474075410100618,这个电视剧什么都好，就是广告太多
微信用户1468949230434592,此剧有毒，谁推荐部好看的剧。
兽神帝天76963211,小学狗表示不服23333[愤怒]
腾讯用户1473519133432318,微微一笑很倾城里面，我觉得微微和肖奈很漂亮，曹光很喜欢微微，那个曹光好丑，根本配不上微微，肖奈才配得上微微，你们觉得肖奈帅，还是曹光帅呀！，我觉得肖奈帅[稀饭][稀饭][稀饭]
腾讯用户1472457960416829,妈呀！，看看人家的爸爸，这么支持[难过]
土豆用户_428400584,[解树花痴]
土豆用户_428400584,杨洋好帅，一笑倾城，暖到心里了[止戈_花痴]
土豆用户_428400584,肖奈（杨洋  饰）一笑很倾城，简直要飞上天了[稀饭]。杨洋郑爽好般配
优酷用户1470215728080484,杨阳好帅啊[赞][赞][赞]
腾讯用户1474075410100618,倩女幽魂真的很好玩
微信用户1472866157612493,赞同吱一声
流星划过sky21714037,易烊千玺哪有杨洋帅啊，还撞脸[汪大东_怒]
腾讯用户1472968586527282,已转发评论
微信用户1472866157612493,太少了！根本不够看
腾讯用户1474075410100618,曹光好无知
腾讯用户1474102541437734,特喜欢微微一笑很倾城！！看了一遍又一遍！！感觉郑爽和杨洋真的很配。你们呢？？？
樱花散落03047709,光看这一集就去了3分钟的广告，广告这种东西为什么不消失嘛
腾讯用户1474088686504200,看了这个喜欢洋洋了，还从来没喜欢过一个明星或演员过呢？好帅
优酷用户725350846,广告也太长了
优酷用户1472480049820446,洋扬好帅
优酷用户1467605538773292,郑爽演技太好了
优酷用户1467605538773292,这部戏什么都可以，杨洋的颜值加上小爽的完美演技简直就是绝配！就是太虐狗了！
优酷用户835752809,海军蓝胖胖生日礼物女生们最大限度减少的主要
腾讯用户47851369,我看了5遍了
优酷用户1474012486710905,郑爽好美[稀饭][稀饭][稀饭]
优酷用户1474012486710905,杨洋好帅[稀饭][稀饭][稀饭]
萌馨韩雅,第五集22分杨洋耳朵砸红了
优酷用户1468044150183174,郑爽萌萌哒[稀饭]，杨洋帅帅哒[稀饭]，真是天生一对[搞笑]
天蓝lele,讨厌逸然
感应有你走过的风景,贝微微的耳机一下子就不一样了，这算穿帮吗？
mln7869,呵呵，我忍不住 要去看若白了
mln7869,不得不说，顾漫做的人物设定过于完美了，薇薇VS奈何，肖奈VS微微，杨洋VS大神，爽妹VS系花。感谢这些有血有肉的角色们，如果不是原班人马，我是不会再看第二部了。
腾讯用户1472312891702778,呼呼呼哈哈哈
忆梧桐ヾ流年回转53152580,这中间还带插广告的
优酷用户1468044150183174,呵呵
腾讯用户1471423345226229,有人吗
优酷用户1474092701531652,好卡
腾讯用户1473426314744289,[赞]
腾讯用户1474082196957570,第五集真的好狗血
腾讯用户1474082196957570,【稀饭】
微信用户1472958673235806,每天看重播希望有第二部
腾讯用户1474097888874877,就是一个人好吗
微信用户1470465873659647,肖奈大神和旋风少女的大师兄若白很像。
微信用户147409473573164,啦啦啦
微信用户1473057368781534,第三遍了看了
孤浪79518219,杨洋太帅了，这颜值，世界第一！！！
呵呵74082263,好看好看好看好看
腾讯用户1474100229404754,好喜欢杨洋
微信用户1474032739586594,实在是太好看了[稀饭][稀饭][稀饭][赞][赞]
腾讯用户1473917464656320,曹光根本配不上微微
F_Melody,咋办 我发现 要是真在学校 曹光是我的菜 哈哈哈哈 大神是你们的 我还蛮喜欢曹光这一型的
希望你能明白46769684,[稀饭]杨洋帅呆了，郑爽美呆了，好喜欢[赞]
腾讯用户1474099899033725,杨洋好帅，同意的点个赞
土豆用户_759954126,我觉得在现实生活中【杨洋】和【郑爽】非常配，我听说杨洋和郑爽再录花儿与少年中【杨洋】喜欢【郑爽】
腾讯用户1474095382624120,百看不厌
腾讯用户1474095382624120,真的太好看了
腾讯用户1473252338436164,想问有第二部吗？？？
腾讯用户1473252338436164,想问有第二部吗？
腾讯用户1472463776927667,这段打戏薇薇太酷了了
腾讯用户1470760061967732,我好喜欢杨洋啊[稀饭]
微信用户6192463446140167,广告，哎哎哎！😭
微信用户6192463446140167,同一个人
微信用户6192463446140167,sb，广告3分钟，我他妈的只想看电视剧
优酷用户1467554487565270,什么都好，就是那可恨的广告！！！太太太太那啥了，不过还是超好看！
最想看到你乔美人_462515435,不愧是大神，太帅了
优酷用户804797199,杨洋到底有多矮，这内增高得有7公分！[搞笑]
腾讯用户1473666399894867,点赞
腾讯用户1468731198207202,太好看了，我4天把微微一笑很倾城追完了，现在是第二遍，还是那么好看😊喜欢看微微一笑很倾城的点赞
没有理由的放弃,好看么
腾讯用户1470760061967732,我支持郑爽和杨洋在一起[赞]
腾讯用户1470760061967732,肖奈大神好帅呀，我要舔屏了。[裘球_萌萌哒]
Boss焦,好帅呀赞赞赞
Boss焦,已转发评论
优酷用户1471510119209519,，，，
土豆用户_405689664,好爱杨洋
土豆用户_405689664,杨洋爱你呀
优酷手机用户_9xzzlnxs,李易峰的话去看麻雀
优酷用户1474082104032547,杨洋好帅呀！😍😍
优酷用户1473864122184882,好喜欢洋洋[稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][强][强][强][强][强][牛][牛][牛][牛][牛][牛][赞][赞][赞]
____25051748,棒棒哒
腾讯用户1473982741369401,说到底还是角色够吸引
优酷用户1471510119209519,好
腾讯用户1474112610650788,你们这伙人在明星火的时候说，我爱你！我永远爱你！什么什么的。但等到那些小鲜肉老了，有皱纹了，你们又会说什么，都三十多了还出来装嫩，真是不知廉耻！这不是有病？
土豆用户_828774494,"1

1"
峰迴路轉愛不釋手,我喜欢杨洋不是太喜欢郑爽
优酷用户146138446036345,这广告，太特么长了，还有我这破手机，没事就鬼傗😂😂😂😂说一句我的就得变成我的我的😂😂
ykapp_vcaymjzb,洋耳朵好红
腾讯用户1474112024729244,真好看。
土豆用户_455535835,我才发现男孩子害羞是红耳朵呀
腾讯用户1472287746838675,你妈的傻逼....
优酷用户1474082860013828,太好看了，期待观看量破200亿！！！！！！！
腾讯用户147351647690967,好看。  杨洋好帅
妖孽_往哪逃,棒棒哒，肖奈大神好帅，郑爽和杨洋甜蜜配一脸
腾讯用户1474108029900699,微微一笑，很倾城，我都看了好多遍，就是看不完。
微信用户1473619989239669,大神是不是又换衣服了？？？
微信用户14728751593406,杨洋[赞]郑爽好配对[赞][赞][赞][赞][赞]
宝宝53017879,对
Tfboys小汤圆96816336,郑爽太瘦了吧
微信用户1473408339296997,这广告
小杏树,琴师是个将军，假装琴师来剿灭山贼，所以不能显露武功。
Tfboys小汤圆96816336,呵呵
腾讯用户1472775545205629,他俩避雨是哪集啊
____10030632,Good
腾讯用户1470983617832312,杨洋   好帅[稀饭][稀饭][卖萌][卖萌][卖萌][卖萌][卖萌][赞]
墨覆长歌,100秒广告，很强
情敌三千奈我何ヴ,优酷好醉....广告又长有多
土豆用户_790596893,喜欢郑爽   美美哒☀  演技也是棒棒哒
蕶薍ゞ01917131,《女贼抢亲》的片段中，琴师和女贼结婚，女贼跳的那个舞我也是醉了，反反复复就那么几个动作，我真不知道女贼怎么想的，到底时不会还是懒得换，琴师是怎么看的下去的。而且为什么要女贼会武功而琴师不会呢？琴师有了武功肯定帅，可琴师不会武功让人看起来胆小如鼠的样子
腾讯用户146511571697760,赞
CBA101,好看喜欢
宝宝53017879,sb
红薯18858879,我觉得曹光帅
何萱露义,喜欢杨洋，郑爽
香阁8,[赞]
腾讯用户1472511486357653,优酷广告太多了
腾讯用户1472511486357653,杨洋很帅，希望杨洋能
腾讯用户1472511486357653,很好看的'我都看了几遍了！希望还能出这样的电视剧，
优酷用户146138446036345,😂😂😂😂Me to
腾讯用户1472511486357653,唯一能让我熬夜的电视剧
燕子68940649,支持郑爽杨洋
初心不变我还爱thk,校花还有点人性，就是长得丑不拉几的，呵呵，就他小跟班就会在别人后面bb，妈的鼻子把老子丑哭了
腾讯用户1472461761396479,🇦🇹🇦🇹🇫🇷🌃🏡🏬🏡🏬🏡🏬🏡🏬🏤🏢🏬🏤🏬🏤🏬🏤🏬🏤🏢🏤🏤🏥
优酷用户1468382921291677,"爱杨阳
[稀饭]"
腾讯用户1474037979000711,已转发评论
腾讯用户1474083232109445,不错，很好
微信用户1472810820153455,广告太长了吧
腾讯用户1472196463097755,其实孟逸然是好的，坏的不是他，是娜娜
腾讯用户1472196463097755,但是确实这样比较接近游戏人物呀
微信用户147386740657821,支持👍👍
优酷用户1461226554868506,杨洋好帅呀
