链接,面积,房屋户型,楼层,房屋朝向,地铁,小区,位置,时间,租赁方式,付款方式,房屋现状,租赁周期,装修描述,小区介绍,学区介绍,核心卖点,周边配套,交通出行,户型介绍,投资分析
http://gz.lianjia.com/zufang/GZ0002406087.html,163平米,4室2厅2卫  整租,高楼层 (共19层),南,距地铁4号线车陂南798米,骏景花园南苑骏御轩3套出租中,天河棠下,3天前发布,整租,暂无数据,暂无数据,暂无数据,南苑南向4房户型 可以租办公 安静望花园采光好 视野好 4个房间都可以住人 三房朝南,骏景花园精英之城从98年2月开始动工，是广州市采用南北走向的平衡式布局的大规模，大空间，大园林的大社区，楼与楼之间最宽距离达到48米，底层是新加坡式的架空结构，风车型的设计让骏景花园通风采光好，而且各种生活配套经过10多年的发展，现已成熟。,大学：华南师范大学、暨南大学、华南理工大学、华南农业大学中小学：骏景小学、骏景中学、泰安中学、泰安小学、新元小学、培育小学幼儿园：骏景幼儿园、春江幼儿园、美好幼儿园、培育幼儿园,南向 厅大房大阳台大 4房 安静望花园,商场：中英超级广场、好又多、卜蜂莲花、屈臣氏、家乐福、百安居、宏城超市、骏景超市邮局：天朗邮政局、东圃邮政局银行：建设银行、农业银行,交BRT棠东站：B1路、B2路、B2A路、B3路、B4路、B4A路、B5路、B6路、B7路、B22路地铁：4号线车陂站、地铁5号线车陂南站、科韵路站,,
http://gz.lianjia.com/zufang/GZ0002406048.html,89平米,2室2厅1卫  整租,高楼层 (共32层),南,距地铁2号线东晓南872米,金碧花园第三金碧68套出租中,海珠金碧,1天前发布,整租,暂无数据,暂无数据,暂无数据,本人亲自看过 简单装修 干净整洁 卫生间干湿分离，拎包入住 室内居家精装修，保养干净舒适，客厅装饰显得房子特温馨，采光通风好,"恒大地产开发的，物业为金碧物业，楼间距较大的大型楼盘。社区里面的生活配套很完善，1.小区楼龄(2003年),目前已有12年楼龄2.金碧花园一期属于大型高层住宅小区，小区环境优美，娱乐设施配套完善",,大两房 采光充足 交通方便,银行，力美健健身房 。餐饮娱乐如金碧大世界，ktv， 肯德基，小区门口150米处就是加油站,,,
http://gz.lianjia.com/zufang/GZ0002406049.html,72.23平米,2室1厅1卫  整租,高楼层 (共18层),西,距地铁2号线东晓南1038米,金碧花园第二金碧45套出租中,海珠金碧,1天前发布,整租,暂无数据,暂无数据,暂无数据,装修保养好 精装修采光充足，居家之选户型方正，采光通风都很好布局合理。,户型方正，采光通风都很好布局合理。采光以及通风都非常好。旺中带静。视野开阔。靓景美不胜收。让您感觉非常舒服。让您心情舒畅,,业主诚心放租 温馨两房 南北对流,,,户型方正，采光通风都很好布局合理。采光以及通风都非常好。旺中带静。视野开阔。靓景美不胜收。让您感觉非常舒服。让您心情舒畅,户型方正，采光通风都很好布局合理。采光以及通风都非常好。旺中带静。视野开阔。靓景美不胜收。让您感觉非常舒服。让您心情舒畅
http://gz.lianjia.com/zufang/GZ0002405986.html,82平米,2室2厅1卫  整租,高楼层 (共18层),北,距地铁5号线科韵路1066米,粤和楼1套出租中,天河天河公园,82天前发布,整租,暂无数据,暂无数据,暂无数据,该物业目前空置 普通住家装修 实用通透 安静望公园 视野开阔通风,粤和楼是在黄埔大道中天河公园东门的位置 环境非常好 靠软件园 生活氛围极好 交通也很方便,,安静 公园洋房,,,该物业是82方的电梯两房 房间一间朝南 一间朝北 望公园 环境极好 高层视野开阔,
http://gz.lianjia.com/zufang/GZ0002405971.html,94平米 (套内80平米),3室1厅1卫  整租,中楼层 (共12层),南 北,距地铁4号线车陂229米,美好居12套出租中,天河车陂,30天前发布,整租,暂无数据,暂无数据,暂无数据,房子是大两房，目前是业主自住状态，装修保养豪华，位置安静，正南向，采光通透。住家之选，拎包入住。,小区管理好 物业尽责，采光温馨 居住非常好 很多周边工作的人都是比较好的选择。,,小区环境优美，邻近地铁，交通便利,周边配套多， 学校 商业街 医院都有 楼盘周围建金融城 四号线地铁车陂站。BRT车陂站,,,
http://gz.lianjia.com/zufang/GZ0001801033.html,119平米,3室0厅1卫  整租,高楼层 (共9层),东 西,暂无数据,华景新城建宇轩3套出租中,天河华景新城,232天前发布,整租,暂无数据,暂无数据,暂无数据,"采光通风好，总体来说装修保养较好，三房,精装修,环境安静,家电家私配齐",小区多半是二房或大三房，由69-120方不等，有独立的管理，虽然没有小区环境，西向的房就会有点吵，其它的就不会吵，但与华景新城共享生活配套，交通也方便，所以住家，这栋楼是不错的选择,,华景新城建宇轩 大单间 家私家电齐,十五年成熟生活配套 双公交总站 各大银行 饭店 菜市场 超市 便利店 水果 店 花店进口美食店 美容修身连锁店 健身会所 服装店 学校 教育机构等完善配套,华景新城小区内设有双公交总站 560 298 191 130 239 293 194 B9 公交线路.华景新城BRT.,,
http://gz.lianjia.com/zufang/GZ0001990251.html,58平米,1室1厅1卫  整租,高楼层 (共9层),西北,暂无数据,芳村大道西10套出租中,荔湾滘口,164天前发布,整租,暂无数据,暂无数据,暂无数据,此套物业为空房出租，厅直阳台阳台，西向，一般家住装修，无家私电器，楼下就是公交车站，出行便利，安逸生活,,,房间及客厅够大 总价合理 可接受合租,医院：中山医附属芳村人民医院、福康医院 银行：工商银行、建设银行、中国银行、农业银行、广州银行、光大银行其他：桥东市场,公交：19路、高峰快线22路、52路、55路、57路、75路、81路、123A路、193路、202路、206路、207路、佛山277路、277路、281路、309路、411路、783路地铁：5号线滘口站,,
http://gz.lianjia.com/zufang/GZ0002002779.html,31平米 (套内23平米),1室0厅1卫  整租,低楼层 (共18层),东,暂无数据,易丰大厦5套出租中,天河天河公园,154天前发布,整租,暂无数据,暂无数据,暂无数据,房子户型方正，少有东向户型、带阳台，安静舒适，房子装修漂亮、保养好,,,东向带阳台 干净整洁 家私家电齐,学校：幼儿园、天府路小学、113中学、暨南大学等交通：公交华侨医院站(30多条路线)、地铁5号线(潭村站)超市：家乐福超市、百佳、菜肉市场等医院：华侨医院,"243 路:美林花园-革新路总站06:00-22:30, 途经国防大厦/天河立交/中山医等；245 路:广州科学城-黄石路06:00-22:30, 途经东圃镇/国防大厦等；261 路:渔珠-中山八路总站06:00-21:30, 途经黄埔大道东圃/中山纪念堂等",,
http://gz.lianjia.com/zufang/GZ0001933561.html,135平米,3室2厅1卫  整租,中楼层 (共13层),南,距地铁4号线车陂南652米,骏景花园南苑骏灏轩3套出租中,天河棠下,188天前发布,整租,暂无数据,暂无数据,暂无数据,新业主放盘，户型好，厅出阳台，位置安静，视野开阔，南向望金融城，目前把房间打通了，适合办公,建有入口广场、广场和八个各具特色的主题园林。小区环境宁静优美，并建有幼儿园与中学、医疗保健，设施齐的会所、菜市场、银行、超市、居委会等生活设施，的保安系统以及港式的物业管理，设有广州市二十四服务的业主尊贵服务,,南向3房 通风采光好业主诚心放租,,公交车站：棠东站、棠下站(BRT)途经线路:518路，地铁站：5号线科韵路站、5号线和4号线交汇站点车陂南站和4号线车陂站接驳,,
http://gz.lianjia.com/zufang/GZ0002042073.html,108平米,3室2厅2卫  整租,高楼层 (共32层),西南,距地铁8号线凤凰新村576米,金碧湾4套出租中,海珠工业大道北,149天前发布,整租,暂无数据,暂无数据,暂无数据,保持发展商装修 抛光地砖 粉刷白墙 房间统一实木地板 卫生间白色马桶！,小区的园林特点以叠级式水系为主，借鉴巴厘岛水景，通过丰富的植被、原石、连廊、天桥连接贯穿，平台花园与首层水系形成立体园林，首层为架空水景园林，并设计有大面积的空中花园。,,配套成熟 间隔实用 配套齐,,边交通:9、10、59、79、114、125、183、220、226、239、75、243、251、288、16、31、B21、811、813、地铁8号线与广佛地铁线等,,
http://gz.lianjia.com/zufang/GZ0002166394.html,101平米,3室2厅2卫  整租,低楼层 (共13层),南 北,距地铁5号线科韵路647米,骏景花园南苑骏扬轩5套出租中,天河棠下,142天前发布,整租,暂无数据,暂无数据,暂无数据,"业主自住,家电家私齐.房子户型方正，进门通风，装修保养也很好，很适合居家常住，业主很爱干净，,拎包入住",,,"家电家私齐,保养好,拎包入住",医院配套：骏景花园社区医疗服务站、南方医科大学附属医院、中山三院菜市场：骏景花园北苑菜市场、骏景南苑菜市场、棠东牌坊菜市场五大银行: 中行 农行 工行 建行 招商银行.,公交BRT棠东站：B1路、B2路、B3路、B4路、B5路、B6路、B7路、B22路地铁：4号线车陂站,"103，朝向：南北通透向,户型方正通透，视野开阔，采光佳,，装修不错，",
