用户,评论,时间
350178735,因為短髮啊 要早上洗才行 剛改的習慣,2017-04-08 00:58:21
350176848,晚安。,2017-04-08 00:58:09
350185258,日常打卡,2017-04-08 00:57:43
350176833,那还是蛮有缘滴哈,2017-04-08 00:57:28
350173893,因为一个人,2017-04-08 00:57:09
350172912,臥槽！這麼巧 我也是⋯,2017-04-08 00:56:55
350175869,晚安  明天八点的闹钟,2017-04-08 00:56:29
350187205,我文科诶,2017-04-08 00:56:27
350185228,老去的90后,2017-04-08 00:56:10
350170956,我第一次为喜欢的女生弹吉他就是这首，然后他成了我的初恋，记忆很美，但风太大，我们没有飞那么远,2017-04-08 00:55:45
350188127,回家看杰伦到现在,2017-04-08 00:55:27
350176780,哎……我明天还要早起洗头呢,2017-04-08 00:55:06
350168911,从前从前有个人爱你很久。,2017-04-08 00:54:29
350185190,我也是⋯,2017-04-08 00:54:08
350185188,晚安世界[憨笑],2017-04-08 00:54:06
350185175,我失眠了……,2017-04-08 00:53:30
350180642,这么多年了 我还是没能在你身边啊。,2017-04-08 00:53:19
350166887,唉 都過了20幾年了 不是還沒學會如何面對呀,2017-04-08 00:53:12
350182541,哈哈我去看了视频，分裂好多地方他都把话筒朝着观众，没准不记得了哈哈哈……   能唱以父之名印第安老斑鸠这些歌也是让人感动到落泪啊！最好的周杰伦！,2017-04-08 00:53:00
350174795,今晚又睡不着啦[可爱],2017-04-08 00:53:00
350175713,听到翻唱，忍不住回来,2017-04-08 00:50:37
350168805,以前听你的歌没感觉，现在才知道里面的故事，是会让人落泪的那种感动和喜欢,2017-04-08 00:50:31
350164909,刚看了《最好的我们》的晴天cut 哎我可能永远也不会告诉你我喜欢你,2017-04-08 00:49:43
350180486,为什么？难道因为白天会下雨吗[吐舌][吐舌],2017-04-08 00:48:01
350180458,晚安,2017-04-08 00:47:01
350162901,分裂没忘词，整场除了印第安老斑鸠失误了一段其余都很棒！,2017-04-08 00:46:58
350171614,和他吵架了，好累，异地恋好累……,2017-04-08 00:46:54
350172661,因为你我又重新开始听周杰伦，从此周杰伦的歌里全是你的影子，想听又不敢听，怕回忆一幕幕重现我承受不了，但这也是我想念你唯一的方式了。,2017-04-08 00:46:54
