用户,评论,时间
223967708,下个月四号？,2017-04-11 12:46:11
314130512,真的吗,2017-04-11 12:45:33
501045459,男主丑也就算了，剧情还不好看,2017-04-11 12:13:27
422563699,呃，，，，好大牌的样纸。[冷汗],2017-04-11 12:13:26
153660620,挺好玩的。,2017-04-11 12:12:04
405362415,呵呵,2017-04-11 12:11:52
492342902,互赞走起来,2017-04-11 12:11:29
303595981,妈呀嘴巴子真长，不怎么好看呀,2017-04-11 12:10:13
552716142,,2017-04-11 12:09:59
550807009,奶,2017-04-11 12:08:12
62120692,女神,2017-04-11 12:05:59
62120692,喜欢松韵,2017-04-11 12:05:48
535390269,咋没结局,2017-04-11 12:01:34
104590841,赶紧更新哈，期待,2017-04-11 12:01:28
395166628,萌萌哒！！,2017-04-11 11:58:58
167788869,快播第二季吧导演,2017-04-11 11:58:27
510170623,不是叔娘周一到周五更新嘛，，怎么还没有下集,2017-04-11 11:57:55
443894706,,2017-04-11 12:19:05
511062059,好看,2017-04-11 11:55:27
93653240,这是真爱&#039;愿意为她挡…,2017-04-11 11:55:22
14966572,耿耿于怀,2017-04-11 11:53:52
60473499,他们说第二季5月14号播,2017-04-11 11:53:24
425513295,5，4,2017-04-11 12:09:23
49394413,5月4号,2017-04-11 12:06:23
418507464,,2017-04-11 11:51:20
414328765,看不下去的狗血剧,2017-04-11 11:49:49
341143937,哈哈哈哈,2017-04-11 11:48:51
454658840,为什么只更新到21集，就不更新了,2017-04-11 11:44:51
405415361,第一季播放了 还有第二季,2017-04-11 12:19:26
171301751,喜欢点赞,2017-04-11 11:44:29
500809333,,2017-04-11 11:41:48
479090475,一个星期更一集，我得等多少个星期才能看第二部，在线等，挺急的,2017-04-11 11:41:38
60473499,VIP不是全部可以看吗,2017-04-11 12:42:22
443894706,,2017-04-11 12:20:11
9231924,"什么时候更新啊
第二季呐",2017-04-11 11:41:26
64105648,差评，不让我看小说😭,2017-04-11 11:39:33
467629509,什么时候才出第二季啊？期待着你们精彩的演绎！[愉快],2017-04-11 11:35:11
554268111,第二季什么时候播？,2017-04-11 11:34:39
553533274,期待第二季么么哒,2017-04-11 11:31:57
405720440,问一下有人借我uip我自己怎么弄啊,2017-04-11 11:39:44
405720440,你好,2017-04-11 11:39:05
472838646,很喜欢这部剧,2017-04-11 11:31:35
122277764,为什么只有21集？？？,2017-04-11 11:27:32
13586595,,2017-04-11 11:27:30
436683467,第二季啥时候播呀 求播,2017-04-11 11:25:49
360936128,爱上了所爱的，体现了爱情的甜蜜,2017-04-11 11:25:44
52829470,终于更新了,2017-04-11 11:25:21
495326890,帅哥美女们，有VIP，可以借我看一下吗？,2017-04-11 11:25:08
311306609,可以找我买哦哦[微笑],2017-04-11 12:09:54
554308359,你的vip多少钱一个月啊,2017-04-11 13:07:13
405720440,我朋友借我uip，怎么弄啊,2017-04-11 11:40:24
333621760,自己买呀,2017-04-11 11:33:25
258201351,看完了,2017-04-11 11:24:19
550658625,好想看第二季什么时候放呀,2017-04-11 11:22:37
367642509,5月4日,2017-04-11 11:25:54
258201351,5月,2017-04-11 11:24:34
554261664,小国产网剧越来越强势了👍 很棒[玫瑰][玫瑰][玫瑰],2017-04-11 11:18:57
279945686,我都看了3遍了，第二季什么时候播啊,2017-04-11 11:17:21
258201351,五月,2017-04-11 11:24:47
542707641,我也看了三遍了,2017-04-11 11:23:10
436252795,什么时候出第二季？,2017-04-11 11:15:19
258201351,五月,2017-04-11 13:00:41
209824818,第三集还没应聘就直接叫黎特助,2017-04-11 11:14:31
60473499,配音错误吧,2017-04-11 12:43:01
21302749,我个人觉得，女主不是特别美，男主帅,2017-04-11 11:13:55
548484553,"都看完了
什么时候才有第二季啊",2017-04-11 11:07:11
551074161,jmytf,2017-04-11 11:06:05
391048543,就这样的结局？？？？？,2017-04-11 11:04:46
501088981,,2017-04-11 11:03:57
515154749,坐等第二季,2017-04-11 11:03:57
292094181,第2季什么时候出来,2017-04-11 11:03:42
187084719,没下文的剧情 让人感觉像便秘 一样 [疯了][疯了][疯了][疯了],2017-04-11 11:01:29
167545858,我来看看脑残粉,2017-04-11 11:01:26
211539745,那个有VIP给我用一下，拜托，今天才发现这个电视剧不错,2017-04-11 10:58:22
60473499,一顿7块,2017-04-11 12:43:41
443894706,,2017-04-11 12:22:01
311306609,可以找我买哦哦,2017-04-11 12:12:12
311306609,可以找我下单，便宜点,2017-04-11 12:10:57
499457893,多少啊,2017-04-11 13:32:45
202606458,2吨麻辣烫的事,2017-04-11 11:18:33
95608903,15能吃2顿，牛,2017-04-11 11:22:14
121036073,15元一个月你都不愿意充真是省钱高手,2017-04-11 11:15:12
439771039,嗯嗯嗯嗯嗯嗯恩,2017-04-11 10:58:21
510294800,刚开始看男主是真别扭像斗鸡眼，现在追完了也看习惯了感觉帅的不要不要的，为什么要分两季呢等的太痛苦了吧！,2017-04-11 10:57:41
511161654,多久第二季，好看,2017-04-11 10:57:22
439771039,啊啊啊,2017-04-11 10:56:32
19982345,男主有点丑，脸长得有点奇怪,2017-04-11 10:52:28
64103790,只有21？,2017-04-11 10:51:13
178763782,挺好看的,2017-04-11 10:51:07
399408952,垃圾不好看,2017-04-11 10:49:12
75075330,赶紧出第二季 🙏🏻🙏🏻🙏🏻,2017-04-11 10:48:53
127614202,什么时候出弟二寄,2017-04-11 10:46:41
300724989,好看吗亲们，？我刚刚开始看的,2017-04-11 10:45:55
202606458,难看,2017-04-11 11:19:05
510294800,好看,2017-04-11 10:57:59
407585518,他们亲是第几集,2017-04-11 10:45:35
292094181,最后一集,2017-04-11 11:04:09
471959648,好看吗？,2017-04-11 10:44:39
429368497,我才看18集，现在在外省，流量不够了，所以没看后面的,2017-04-11 11:16:10
429368497,还行吧,2017-04-11 11:15:26
554246285,什么时候出第二季呀。,2017-04-11 10:42:06
553633993,姜潮很帅，谭松韵很可爱，两人的演技都很好😉😉😉😉😉,2017-04-11 10:41:27
222957032,第二季什么时候来啊,2017-04-11 10:41:00
454889486,5月14,2017-04-11 10:43:20
261684752,第一季已看完，跪求第二季🙏🙏🙏,2017-04-11 10:40:48
13532364,第二季于17年5月14日播出,2017-04-11 10:40:29
436683467,你确定5月14号,2017-04-11 11:26:35
514971951,真的吗？,2017-04-11 10:44:33
150529819,第二季快来，，，，,2017-04-11 10:38:11
250250519,,2017-04-11 10:37:48
554243735,为什么今天没有更新,2017-04-11 10:36:29
554243735,真的假的？,2017-04-11 11:00:09
37199096,1路咋啦故意,2017-04-11 10:36:02
422504649,男主好丑😂,2017-04-11 10:34:11
87054334,还有没有第二季啊,2017-04-11 10:34:02
373945796,不会吧，没演完吗？结尾怎么这样就没了。,2017-04-11 10:33:36
383344501,帅气的[憨笑],2017-04-11 10:33:11
81134859,姜潮整容了吗？,2017-04-11 10:28:49
48325198,没把,2017-04-11 11:14:36
193237899,真心喜欢我韵宝宝，那些觉得女主丑的麻烦你别点视频，没人强迫你来看。,2017-04-11 10:27:54
103052623,还有没有第二季啊,2017-04-11 10:24:08
128698485,什么时候放第二季啊,2017-04-11 10:20:53
516084011,片花有的没演哎,2017-04-11 10:18:14
