书名,作者,豆瓣评分,简介
世界的凛冬,"[英]
            肯·福莱特", 9.3 ,我亲眼目睹，每一个迈向死亡的生命都在热烈地生长。全球读者平均3个通宵读完的超级小说《巨人的陨落》的续篇！火遍全球的20世纪人类史诗“世纪三部曲”第二部。美国《纽约时报》小说畅销榜第1名！加拿大书商协会畅销书排行榜第1名！德国小说类畅销书排行榜年度第1名！意大利小说类畅销排行榜年度第1名！西班牙《真理报》畅销书榜第1名！丹麦Bog & idé畅销书榜第1名！整个20世纪的吉光片羽，都被肯•福莱特写进了这部伟大的小说里。一切都始于那个裂变中的大时代——希特勒上台，爱德华八世退位，原子弹在广岛和长崎爆炸……世界剧烈改变，我该怎么办？这正是他们的困惑——一群处于人生黄金时代的少男少女，来自德国、美国、英国、苏俄和威尔士的五大家族，他们父辈的命运因一战而彻底改变。如今，世界再次破碎，甚至更加暴烈和残酷。然而，这就是他们的时代！在时间的永恒流动中，每个人都在创造历史。所以，为什么不一起来，会一会命运？
追风筝的人,"[阿富汗]
            卡勒德·胡赛尼", 8.8 ,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟随父亲逃往美国。成年后的阿米尔始终无法原谅自己当年对哈桑的背叛。为了赎罪，阿米尔再度踏上暌违二十多年的故乡，希望能为不幸的好友尽最后一点心力，却发现一个惊天谎言，儿时的噩梦再度重演，阿米尔该如何抉择？故事如此残忍而又美丽，作者以温暖细腻的笔法勾勒人性的本质与救赎，读来令人荡气回肠。
恋情的终结,"[英]
            格雷厄姆·格林", 8.3 ,二战期间的英国伦敦，作家莫进而斯和公务员的妻子萨拉，一对婚外恋人，被飞来的炮弹中断的了恋情，它击昏了莫里斯，也激活了萨拉心中潜在的天主教信仰。萨拉向天主祷告：要以远离情人的方式来远离罪愆，以此保全莫里斯的性命。萨拉不辞而别，莫里斯不知就里，妒恨交加地度过了两年。因怀疑她另有新欢，莫里斯请私人侦探调查，结果从萨拉的日记中得知她一直爱他，只是出于对天主的许诺和敬畏才离开他。追悔之余，他提出要和萨拉私奔，开始新生活。此时萨拉已最终皈依天主教，没有答应他，并在不久后患病去世。天主从莫里斯身边夺走了萨拉，莫里斯怀复杂而抗拒的心情面对萨拉死后她的祷告一一应验的事实。《恋情的终结》是英国作家格雷厄姆·格林最具自传性质的小说。嫉妒的情人，无能的丈夫，捉摸不定的妻子，这样的三角关系看起来似乎颇为老套，但与一般的爱情小说不同，这部小说并非仅仅讲述红尘中的男女之情，而是在本德里克斯跟踪萨拉的过程中，探讨爱自己、爱他人和爱信仰这三种单纯而基本的感情。
巨人的陨落,"[英]
            肯·福莱特", 9.0 ,在第一次世界大战的硝烟中，每一个迈向死亡的生命都在热烈地生长——威尔士的矿工少年、刚失恋的美国法律系大学生、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵，以及痴情的德国特工… 从充满灰尘和危险的煤矿到闪闪发光的皇室宫殿，从代表着权力的走廊到爱恨纠缠的卧室，五个家族迥然不同又纠葛不断的命运逐渐揭晓，波澜壮阔地展现了一个我们自认为了解，但从未如此真切感受过的20世纪。
新名字的故事,"[意]
            埃莱娜·费兰特", 9.2 ,只有你身为女人 才会知道这些丑陋的秘密两个女人 50年的友谊和战争如何成为那个更强大的她，又不被她战胜那不勒斯四部曲NO.2《我的天才女友》后续， 意大利最神秘的作家费兰特探索青年时代的激情、困惑、挣扎、背叛和失去全球畅销近千万册 被翻译成40多种语言希拉 里·克林顿、 乔纳森·弗兰岑、詹姆斯·伍德、詹姆斯·弗兰科都是她的粉丝-------------------------《新名字的故事》是埃莱娜·费兰特的“那不勒斯四部曲”的第二部，描述了埃莱娜和莉拉的青年时代。在她们的人生以最快的速度急遽分化的那些年里，她们共同体验了爱、失去、困惑、挣扎、嫉妒和隐蔽的破坏。莉拉在结婚当天就发现婚姻根本不是她想象的那样，她的初夜几乎是一场强奸。她带着一种强大的破坏欲介入了斯特凡诺的家族生意，似乎成为了她和埃莱娜小时候都想成为的那种女人。久未有身孕的莉拉，和埃莱娜去海边度假休养。而在伊斯基亚岛的那个夏天，改变了所有人的一生……出于对莉拉所拥有的爱情的愤怒，“我”（埃莱娜）奋力摆脱这个破败、暴力、充满宿仇的街区。“我”成了街区的第一个大学生，并和一个高级知识分子家庭的男孩订婚，甚至出版了第一本小说。“我”以胜利者的形象回到那不勒斯，却发现告别了丑陋婚姻的莉拉，在一家肉食加工厂备受屈辱地打工。当“我”发现自己的小说，其实完全窃取了莉拉交托给“我”的秘密笔记本里那些独特的力量和灵感，“我”被迫面临一个极度痛苦的问题：“我”和莉拉，到底谁离开了，又是谁留下了？--------------------------------无论是生活还是小说中，一段友谊里，更强大、性格更丰富的那个人会让软弱的那个人的形象变得模糊。但是在埃莱娜和莉拉的关系中，处于弱势的埃莱娜，从自身的从属位置中获得了某种才智——那让莉拉失去了方向，心晕目眩。这种过程很难描述，但也正是这一点让我着迷。可以这么说：在莉拉和埃莱娜的生命中，有很多事件显示了一个人如何从另一人身上汲取力量。但要记住这一点：这不仅表现在她们帮助彼此的层面上，同样也体现为她们互相洗劫，从对方身上窃取情感和知识，消耗对方的力量。——埃莱娜•费兰特答意大利《晚邮报》采访（2011）那不勒斯四部曲精彩而又持久地探索了嫉妒——这种最为致命的情感，因它有时候会将自己伪装成爱。——《纽约书评》关于女性友谊和命运的意大利史诗……在荷马和奥维德之后，我们第一次有了一个女性史诗作者。——《大西洋月刊》费兰特的行文如此清澈，她的叙述如此率真，摄人心魄，引人入胜。——《经济学人》对于费兰特而言，小说的首要目的，就是就搅动那些感染的、敞开的伤口，捅开它，让你意识到自己的伤口在哪里，这伤口又从何而来。——《洛杉矶书评》埃莱娜必须挣脱她从小要面对的那些令人难以忍受的价值，抵抗世俗意义上的成功的诱惑，并从莉拉身上获得知识和力量，却又不能被她压倒……现代小说中对友谊最丰富的描写。——NPR每个人都应该看有埃莱娜·费兰特署名的任何文字。——《波士顿环球报》
百年孤独,"[哥伦比亚]
            加夫列尔·加西亚·马尔克斯", 9.2 ,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪最重要的经典文学巨著之一。1982年加西亚•马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。
杀死一只知更鸟,"[美]
            哈珀·李", 9.2 ,成长总是个让人烦恼的命题。成长有时会很缓慢，如小溪般唱着叮咚的歌曲趟过，有时却如此突如其来，如暴雨般劈头盖脸……三个孩子因为小镇上的几桩冤案经历了猝不及防的成长——痛苦与迷惑，悲伤与愤怒，也有温情与感动。这是爱与真知的成长经典。《杀死一只知更鸟》获1961年普利策奖。美国图书馆借阅率最高的书，英国青少年最喜爱的小说之一。美国中学推荐课外读物。由小说改编的电影获第25届奥斯卡三项大奖。美国电影协会评选的“100名银幕英雄与恶人”中，派克主演的芬奇律师名列英雄第一位。作为史上最受喜爱的小说之一，《杀死一只知更鸟》已获得显赫声誉。它赢得过普利策奖，被翻译成四十多种语言，在世界范围内售出超过三千万册，并曾被拍成，备受欢迎的电影。——哈珀•柯林斯出版集团斯塔尔六月对北卡罗来纳州律师协会发表演说时，自比为《杀死一只知更鸟》中勇敢的南方白人律师阿蒂克斯•芬奇。斯塔尔凭着他的道德优越感，不把规则、秩序和正直放在眼里，这样一个人居然自比为芬奇，实在令我和比尔难以忍受。——希拉里•克林顿年轻时看过《梅岗城故事》（即《杀死一只知更鸟》），对片中法律人为弱势者争取权益奋斗，为恶法非法或恶法亦法辩论的故事感到澎湃不已，更加确定要成为法律人的心愿。——许宗力（台大法学院院长）
我的天才女友,"[意]
            埃莱娜·费兰特", 8.5 ,只有你身为女人才会知道这些丑陋的秘密两个女人，50年的友谊和战争过去五年，几乎所有欧美读者都在谈论她、全球畅销百万册 被翻译成40种语言《金融时报》2015年度女性2016《时代》周刊“世界最有影响力的100人”希拉里·克林顿、 乔纳森·弗兰岑、詹姆斯·伍德、詹姆斯·弗兰科都是她的粉丝----------------------《我的天才女友》是埃莱娜·费兰特“那不勒斯四部曲”的第一部，讲述了两个女主人公莉拉和埃莱娜的少女时代。故事一开始，已经功成名就的埃莱娜接到莉拉儿子里诺的电话，说他母亲彻底消失了。埃莱娜想起莉拉对自己命运的预言，于是她写下她们一生的故事……莉拉和埃莱娜一起成长于那不勒斯一个破败的社区，从小形影不离，彼此信赖，但又都视对方为自己隐秘的镜子，暗暗角力。莉拉聪明，漂亮。她可以毫不畏惧地和欺凌自己的男生对质，也可以去找人人惧怕的阿奇勒﹒卡拉奇要回被他夺走的玩具；埃莱娜既羡慕莉拉的学习天赋和超人的决断力，又一直暗暗模仿莉拉。家人不支持莉拉继续求学，因此她到父亲和兄长苦苦维持的修鞋店帮工，又面临几个纨绔子弟的追求。埃莱娜则怀着对朋友的关爱、嫉妒和理解，独自继续学业，却始终无法面对和莉拉竞争的失落。最终，十六岁的莉拉决定嫁给肉食店老板，但在婚宴上，她发现了丈夫的背叛。而埃莱娜也站在成人世界的入口，既为前途担忧，也因对思想前卫的尼诺产生朦胧好感而彷徨。----------------------名家评论费兰特将两个贫穷的都市女孩之间的爱、分离和重逢，铸造成她们居住的那个城市的悲剧。——《纽约时报》埃莱娜·格雷科是一个幸存者，她必须从那些依附和挣脱的戏剧冲突中，让自己幸存下来。她带着一种幸存者的羞愧，就好像她是从莉拉的宝库盗取了对财富的允诺。——《纽约客》和索福克勒斯或者奥维德一样，费兰特处理的也是命运的问题。莉拉是一个造物主，一个神话般的人物。——《大西洋月刊》焦虑、疲惫、女性经期……费兰特探索了所有我们恐惧的题材。费兰特笔下的女人们切肤地体验了被抛弃、不公和汹涌的情感——这些不再是被当作弱点、而被作为一种事实来看待。——《新共和》和卡夫卡一样，费兰特将她的主人公的内心世界揭露得一览无余。——《卫报》《我的天才女友》是一部单声道（而非双声道）的成长小说；我们从很早就意识到，莉拉还困在自己的世界里，而作者，埃莱娜则会挣脱那个世界。——《泰晤士文学增刊》
活着,余华, 9.1 ,地主少爷福贵嗜赌成性，终于赌光了家业一贫如洗，穷困之中的福贵因为母亲生病前去求医，没想到半路上被国民党部队抓了壮丁，后被解放军所俘虏，回到家乡他才知道母亲已经去世，妻子家珍含辛茹苦带大了一双儿女，但女儿不幸变成了聋哑人，儿子机灵活泼……然而，真正的悲剧从此才开始渐次上演，每读一页，都让我们止不住泪湿双眼，因为生命里难得的温情将被一次次死亡撕扯得粉碎，只剩得老了的福贵伴随着一头老牛在阳光下回忆。
月亮和六便士,"[英]
            威廉·萨默塞特·毛姆", 8.9 ,一个英国证券交易所的经纪人，本已有牢靠的职业和地位、美满的家庭，但却迷恋上绘画，像“被魔鬼附了体”，突然弃家出走，到巴黎去追求绘画的理想。他的行径没有人能够理解。他在异国不仅肉体受着贫穷和饥饿煎熬，而且为了寻找表现手法，精神亦在忍受痛苦折磨。经过一番离奇的遭遇后，主人公最后离开文明世界，远遁到与世隔绝的塔希提岛上。他终于找到灵魂的宁静和适合自己艺术气质的氛围。他同一个土著女子同居，创作出一幅又一幅使后世震惊的杰作。在他染上麻风病双目失明之前，曾在自己住房四壁画了一幅表现伊甸园的伟大作品。但在逝世之前，他却命令土著女子在他死后把这幅画作付之一炬。通过这样一个一心追求艺术、不通人性世故的怪才，毛姆探索了艺术的产生与本质、个性与天才的关系、艺术家与社会的矛盾等等引人深思的问题。同时这本书也引发了人们对摆脱世俗束缚逃离世俗社会寻找心灵家园这一话题的思考，而关...
