id,updated_ladbrokes,registered_db,team_name,decimal_odds,fractional_odds
1,2016-06-12T22:05:01.032+01:00,2016-06-14T23:15:17.201476,France,4.2,16/5
2,2016-06-12T19:36:23.787+01:00,2016-06-14T23:15:17.201476,Germany,5.0,4/1
3,2016-06-14T21:59:22.231+01:00,2016-06-14T23:15:17.201476,Spain,5.5,9/2
4,2016-06-11T21:47:49.489+01:00,2016-06-14T23:15:17.201476,England,9.0,8/1
5,2016-06-14T10:13:53.259+01:00,2016-06-14T23:15:17.201476,Italy,12.0,11/1
6,2016-06-13T21:54:18.926+01:00,2016-06-14T23:15:17.201476,Belgium,15.0,14/1
7,2016-06-14T21:59:22.757+01:00,2016-06-14T23:15:17.201476,Portugal,17.0,16/1
8,2016-06-13T09:00:49.575+01:00,2016-06-14T23:15:17.201476,Croatia,17.0,16/1
9,2016-06-12T22:05:01.552+01:00,2016-06-14T23:15:17.201476,Poland,34.0,33/1
10,2016-06-14T21:59:22.809+01:00,2016-06-14T23:15:17.201476,Switzerland,67.0,66/1
11,2016-06-14T21:59:22.808+01:00,2016-06-14T23:15:17.201476,Wales,67.0,66/1
12,2016-06-13T09:00:49.66+01:00,2016-06-14T23:15:17.201476,Russia,81.0,80/1
13,2016-06-14T21:59:22.81+01:00,2016-06-14T23:15:17.201476,Austria,81.0,80/1
14,2016-06-14T21:59:22.813+01:00,2016-06-14T23:15:17.201476,Iceland,101.0,100/1
15,2016-06-14T10:13:53.259+01:00,2016-06-14T23:15:17.201476,Sweden,126.0,125/1
16,2016-06-12T22:05:01.562+01:00,2016-06-14T23:15:17.201476,Ukraine,126.0,125/1
17,2016-06-12T16:35:07.296+01:00,2016-06-14T23:15:17.201476,Romania,151.0,150/1
18,2016-06-14T10:13:54.192+01:00,2016-06-14T23:15:17.201476,Turkey,201.0,200/1
19,2016-06-13T20:57:17.615+01:00,2016-06-14T23:15:17.201476,"Czech Republic",201.0,200/1
20,2016-06-14T18:46:49.898+01:00,2016-06-14T23:15:17.201476,Hungary,201.0,200/1
21,2016-06-14T10:13:54.194+01:00,2016-06-14T23:15:17.201476,"Republic of Ireland",201.0,200/1
22,2016-06-11T18:55:09.337+01:00,2016-06-14T23:15:17.201476,Slovakia,201.0,200/1
23,2016-06-11T16:12:56.65+01:00,2016-06-14T23:15:17.201476,Albania,401.0,400/1
24,2016-06-13T09:00:49.66+01:00,2016-06-14T23:15:17.201476,"Northern Ireland",501.0,500/1
25,2016-06-12T22:05:01.032+01:00,2016-06-15T09:20:15.782445,France,4.2,16/5
