salary_min,description,title,salary_max,applications,page_number,location,published,link,found,id
,"WDF,  Python  Developer Data Focused with Java, London I currently have an exciting opportunity for an Experienced Developer to join the FICC team to work with Large scale Data Representation problems You will be involved in cross business operations and involved in data plant management, Screen Development...","WDF, Python Developer Data Focused with Java, London",,0,1,London,2014-12-22T21:54:34.049654,http://www.reed.co.uk/jobs/wdf-python-developer-data-focused-with-java-london/26242024#/jobs?keywords=python,2014-12-26T21:54:34.050102,26242024
22000.0,"  Drupal Developer – Git / JavaScript / jQuery  Come and join us as digital specialists in Leeds city centre - interviews being held w/c 5th Jan   Drupal Developer – Git / JavaScript / jQuery  Based in vibrant, creative office in Leeds city centre Holiday bonus scheme – private medical insurance - state...",URGENT - Drupal Developer - JavaScript / Python /  jQuery / Git,30000.0,2,1,Leeds,2014-12-22T21:54:34.051957,http://www.reed.co.uk/jobs/urgent-drupal-developer-javascript-python-jquery-git/26241429#/jobs?keywords=python,2014-12-26T21:54:34.052319,26241429
25000.0,   Python  Developer   Software House - Crewe    Python  / Django Database Design (PostgreSQL) Web Development (CSS / JavaScript / HTML) Agile methodologies Crewe £25K - £35K dependent on experience Call or email for further info.  We are looking for a talented and creative  Python  Programmer to produce high...,Python Developer - Django / PostgreSQL / HTML / AJAX,35000.0,0,1,Crewe,2014-12-22T21:54:34.054197,http://www.reed.co.uk/jobs/python-developer-django-postgresql-html-ajax/26240860#/jobs?keywords=python,2014-12-26T21:54:34.054577,26240860
18000.0," Graduate Software Developer (.NET,  Python , PHP, C#) £17,000 - £22,000 Colchester An exciting opportunity for a Graduate Developer has become available working for a company based in Colchester, you’ll need skills in one or more of the following:  Python , PHP or C# / ASP.NET, to be considered. Full training...","Graduate Software Developer (.NET, Python, PHP, C#)",22000.0,7,1,Colchester,2014-12-22T21:54:34.056743,http://www.reed.co.uk/jobs/graduate-software-developer-net-python-php-c/26014417#/jobs?keywords=python,2014-12-26T21:54:34.057299,26014417
20000.0,"  Graduate Software Developer –  Python  / Java   Bangor , North Wales   £22,000 + Benefits   Role Overview:  A Graduate Software Developer is required by a leading international finance software house based in Bangor, North Wales. The Graduate Software Developer will be responsible for developing software...","Software Developer - Python/Java - Bangor, Gwynedd - £22k",22000.0,3,1,Bangor,2014-12-22T21:54:34.060309,http://www.reed.co.uk/jobs/software-developer-python-java-bangor-gwynedd-22k/26238754#/jobs?keywords=python,2014-12-26T21:54:34.060867,26238754
45000.0,"  BI Developer -  Python , Disruptive Technology Company Central London Up to £55,000 + Benefits  An innovative and disruptive start up with excellent funding and a strong market brand is looking to expand their BI development function by bringing in a BI Developer who will be doing ETL work in  Python ....",BI Developer - Python - Disruptive Technology Company,55000.0,0,1,London,2014-12-26T21:54:34.063350,http://www.reed.co.uk/jobs/bi-developer-python-disruptive-technology-company/26254367#/jobs?keywords=python,2014-12-26T21:54:34.063716,26254367
40000.0,"   Python  Developer London Up to £48,000  A global software house is looking to expand their London offices by bringing a  Python  Developer to work in their applied R&D team to work on new features for the complex, data driven products. The company has produced some of the best financial software in...",Python Developer,48000.0,0,1,London,2014-12-26T21:54:34.066736,http://www.reed.co.uk/jobs/python-developer/26254347#/jobs?keywords=python,2014-12-26T21:54:34.067126,26254347
45000.0,"  BI Developer -  Python , Disruptive Technology Company Central London Up to £55,000 + Benefits  An innovative and disruptive start up with excellent funding and a strong market brand is looking to expand their BI development function by bringing in a BI Developer who will be doing ETL work in  Python ....",BI Developer - Python - Disruptive Technology Company,55000.0,1,1,London,2014-12-14T00:00:00,http://www.reed.co.uk/jobs/bi-developer-python-disruptive-technology-company/26201719#/jobs?keywords=python,2014-12-26T21:54:34.070707,26201719
40000.0,"   Python  Developer London Up to £48,000  A global software house is looking to expand their London offices by bringing a  Python  Developer to work in their applied R&D team to work on new features for the complex, data driven products. The company has produced some of the best financial software in...",Python Developer,48000.0,1,1,London,2014-12-14T00:00:00,http://www.reed.co.uk/jobs/python-developer/26201713#/jobs?keywords=python,2014-12-26T21:54:34.072995,26201713
45000.0,"  BI Developer -  Python , Disruptive Technology Company Central London Up to £55,000 + Benefits  An innovative and disruptive start up with excellent funding and a strong market brand is looking to expand their BI development function by bringing in a BI Developer who will be doing ETL work in  Python ....",BI Developer - Python - Disruptive Technology Company,55000.0,0,1,London,2014-12-26T21:54:34.074823,http://www.reed.co.uk/jobs/bi-developer-python-disruptive-technology-company/26254315#/jobs?keywords=python,2014-12-26T21:54:34.075229,26254315
