title,rate,url
解忧杂货店,8.6,https://book.douban.com/subject/25862578/
夜色人生,8.7,https://book.douban.com/subject/26787935/
不能承受的生命之轻,8.5,https://book.douban.com/subject/1017143/
皮囊之下,8.6,https://book.douban.com/subject/26866448/
克苏鲁神话,8.2,https://book.douban.com/subject/10537633/
美丽新世界,8.5,https://book.douban.com/subject/1321789/
Me Before You,8.3,https://book.douban.com/subject/10432334/
卡尔维诺文集（第三卷）,9.3,https://book.douban.com/subject/1066165/
红楼梦,9.5,https://book.douban.com/subject/1007305/
小径分岔的花园,9.1,https://book.douban.com/subject/1418058/
长恨歌,8.2,https://book.douban.com/subject/1082349/
Of Mice and Men,8.5,https://book.douban.com/subject/1456311/
孽子,8.7,https://book.douban.com/subject/1076654/
伪装成独白的爱情,8.5,https://book.douban.com/subject/26577690/
恶童日记,8.6,https://book.douban.com/subject/3315879/
夏日的庭院,8.3,https://book.douban.com/subject/3056906/
达摩流浪者,8.5,https://book.douban.com/subject/3151990/
直捣蜂窝的女孩,9.0,https://book.douban.com/subject/5993310/
雪国,8.1,https://book.douban.com/subject/1069059/
那个不为人知的故事,8.6,https://book.douban.com/subject/26680113/
终结的感觉,8.5,https://book.douban.com/subject/10746177/
第二十二条军规,8.3,https://book.douban.com/subject/1088812/
古拉格气象学家,8.0,https://book.douban.com/subject/26798155/
世上另一个我(修订版),8.4,https://book.douban.com/subject/6041708/
大明王朝1566,9.0,https://book.douban.com/subject/1982427/
中国特色的译文读者,7.5,https://book.douban.com/subject/26897973/
2001太空漫游,9.0,https://book.douban.com/subject/2340609/
侯卫东官场笔记,8.2,https://book.douban.com/subject/4832553/
一个市民的自白,8.8,https://book.douban.com/subject/26253801/
细雪,8.5,https://book.douban.com/subject/2160230/
孤儿列车,8.3,https://book.douban.com/subject/26349261/
人都是要死的,8.7,https://book.douban.com/subject/6310320/
白色流淌一片,8.2,https://book.douban.com/subject/26301984/
骆驼祥子,8.2,https://book.douban.com/subject/1043815/
虚无的十字架,7.5,https://book.douban.com/subject/26413027/
潮骚,8.2,https://book.douban.com/subject/3391246/
停车暂借问,8.2,https://book.douban.com/subject/6527141/
爱情没那么美好,7.3,https://book.douban.com/subject/5394486/
马口鱼的诱惑,8.7,https://book.douban.com/subject/26852313/
不适之地,8.8,https://book.douban.com/subject/5321892/
敦煌,8.0,https://book.douban.com/subject/5348044/
卡门,8.1,https://book.douban.com/subject/6863525/
告白,8.6,https://book.douban.com/subject/3920130/
杜撰集,9.3,https://book.douban.com/subject/25796061/
哈利·波特神奇动物解密宝典,7.8,https://book.douban.com/subject/26917251/
未来的序曲,8.2,https://book.douban.com/subject/26534892/
最后的猎巫人,8.4,https://book.douban.com/subject/26617142/
故事新编,8.8,https://book.douban.com/subject/1000517/
变形记,8.6,https://book.douban.com/subject/1873900/
鹿鼎记（全五册）,8.8,https://book.douban.com/subject/1212893/
百年孤独,9.2,https://book.douban.com/subject/6082808/
钓鱼的男孩,8.4,https://book.douban.com/subject/26837288/
肖申克的救赎,9.1,https://book.douban.com/subject/1829226/
荆棘鸟,8.6,https://book.douban.com/subject/1086249/
过于喧嚣的孤独,8.8,https://book.douban.com/subject/6781794/
再见，萤火虫小巷,8.7,https://book.douban.com/subject/26844525/
唯有孤独恒常如新,8.1,https://book.douban.com/subject/26269845/
她他,8.7,https://book.douban.com/subject/26862163/
罪与罚,8.7,https://book.douban.com/subject/1022632/
群山回唱,8.4,https://book.douban.com/subject/24845582/
芒果街上的小屋,7.8,https://book.douban.com/subject/1794620/
抢走我名字的人,8.7,https://book.douban.com/subject/26853122/
努门诺尔与中洲之未完的传说,9.4,https://book.douban.com/subject/26765930/
鼠疫,8.7,https://book.douban.com/subject/5406559/
想象共和国,8.5,https://book.douban.com/subject/26835963/
城堡,8.4,https://book.douban.com/subject/2036561/
万有引力之虹,8.3,https://book.douban.com/subject/3327495/
为什么读经典,8.3,https://book.douban.com/subject/1868698/
乞力马扎罗的雪,8.5,https://book.douban.com/subject/1874411/
绿山墙的安妮,9.0,https://book.douban.com/subject/1064841/
广岛之恋,8.1,https://book.douban.com/subject/1400707/
九三年,8.7,https://book.douban.com/subject/2042629/
爱伦·坡暗黑故事全集（上册）,8.5,https://book.douban.com/subject/20493367/
一路两个人,8.3,https://book.douban.com/subject/10763918/
博尔赫斯短篇小说集,9.2,https://book.douban.com/subject/1768642/
高能预警,8.5,https://book.douban.com/subject/26806567/
我曾侍候过英国国王,8.8,https://book.douban.com/subject/1038656/
泰戈尔诗集,8.9,https://book.douban.com/subject/1170801/
已知的世界,8.4,https://book.douban.com/subject/4894979/
动物园·第三工厂,7.5,https://book.douban.com/subject/26910947/
战略高手,8.6,https://book.douban.com/subject/26760973/
雾都孤儿,8.1,https://book.douban.com/subject/1203251/
权力与荣耀,8.6,https://book.douban.com/subject/2568438/
神经外科的黑色喜剧,9.0,https://book.douban.com/subject/1852700/
莫泊桑短篇小说精选,9.2,https://book.douban.com/subject/26773323/
青铜骑士,9.0,https://book.douban.com/subject/2093212/
柠檬桌子,8.0,https://book.douban.com/subject/10774932/
美洲纳粹文学,8.1,https://book.douban.com/subject/25837539/
黑王子,7.7,https://book.douban.com/subject/3090839/
鹿特丹的伊拉斯谟,9.1,https://book.douban.com/subject/26394190/
生日故事集,7.9,https://book.douban.com/subject/26378466/
恶棍来访,7.7,https://book.douban.com/subject/10567283/
在中国屏风上,7.7,https://book.douban.com/subject/1812843/
查特莱夫人的情人,7.6,https://book.douban.com/subject/1039840/
魔鬼詩篇,9.0,https://book.douban.com/subject/1339959/
恨，友谊，追求，爱情，婚姻,8.4,https://book.douban.com/subject/25747871/
茨维塔耶娃文集：诗歌,8.6,https://book.douban.com/subject/1046680/
短篇小说家与作品,8.0,https://book.douban.com/subject/26570564/
佩拉宫的午夜,None,https://book.douban.com/subject/26909793/
草叶集,8.1,https://book.douban.com/subject/1039809/
追风筝的人,8.8,https://book.douban.com/subject/1770782/
梦里花落知多少,7.2,https://book.douban.com/subject/1016300/
在路上,7.8,https://book.douban.com/subject/1917972/
亲爱的安德烈,8.7,https://book.douban.com/subject/3369793/
素年锦时,7.8,https://book.douban.com/subject/2256438/
一九八四·动物农场,9.2,https://book.douban.com/subject/1082387/
挪威的森林,8.4,https://book.douban.com/subject/2159042/
呐喊,8.8,https://book.douban.com/subject/1449351/
小团圆,7.6,https://book.douban.com/subject/3616310/
动物农场,9.2,https://book.douban.com/subject/2035179/
从你的全世界路过,7.2,https://book.douban.com/subject/25747921/
长安乱,7.4,https://book.douban.com/subject/1049219/
局外人,9.0,https://book.douban.com/subject/4908885/
围城,9.1,https://book.douban.com/subject/1855364/
荆棘鸟,8.6,https://book.douban.com/subject/1086249/
1Q84 BOOK 2,8.4,https://book.douban.com/subject/4885241/
一九八四,9.3,https://book.douban.com/subject/1858576/
斯通纳,8.8,https://book.douban.com/subject/26425831/
一座城池,7.4,https://book.douban.com/subject/1453210/
穆斯林的葬礼,8.2,https://book.douban.com/subject/2244146/
围城,9.0,https://book.douban.com/subject/1069848/
长恨歌,8.2,https://book.douban.com/subject/1082349/
看见,8.8,https://book.douban.com/subject/20427187/
孤独六讲,8.1,https://book.douban.com/subject/4124727/
带一本书去巴黎,8.5,https://book.douban.com/subject/1001885/
永恒的时光之旅,9.2,https://book.douban.com/subject/26698223/
尽头,8.8,https://book.douban.com/subject/25762598/
像我这样笨拙地生活,7.4,https://book.douban.com/subject/6864307/
哥伦比亚的倒影,8.4,https://book.douban.com/subject/1460313/
西风东土,8.0,https://book.douban.com/subject/26737694/
人生需要揭穿,7.5,https://book.douban.com/subject/11614293/
活着活着就老了,7.6,https://book.douban.com/subject/3018322/
一曲微茫,8.9,https://book.douban.com/subject/26819278/
我青春漫游的时代,8.3,https://book.douban.com/subject/26476959/
威尼斯日记,8.6,https://book.douban.com/subject/1041414/
别样的色彩,8.4,https://book.douban.com/subject/5419801/
中国好人,8.1,https://book.douban.com/subject/3391717/
星期一没有什么故事可说,7.9,https://book.douban.com/subject/26775392/
冷记忆1,8.2,https://book.douban.com/subject/3401286/
旧山河,8.1,https://book.douban.com/subject/10597973/
退步集续编,8.2,https://book.douban.com/subject/2052596/
三个胡安在海边,8.4,https://book.douban.com/subject/26303593/
最美的决定,8.4,https://book.douban.com/subject/3689094/
京都一年,7.7,https://book.douban.com/subject/1939594/
试论疲倦,7.1,https://book.douban.com/subject/26878102/
绿光往事,8.2,https://book.douban.com/subject/6844359/
树犹如此,8.5,https://book.douban.com/subject/6937888/
人生只差好好静度时光,9.1,https://book.douban.com/subject/26738158/
想念你的陌生人,7.7,https://book.douban.com/subject/11587591/
没有意义就没有摇摆,7.7,https://book.douban.com/subject/7007774/
马雁散文集,8.9,https://book.douban.com/subject/10527371/
爱默生随笔,8.6,https://book.douban.com/subject/4766916/
机场里的小旅行,7.3,https://book.douban.com/subject/4933087/
温柔的夜,9.0,https://book.douban.com/subject/2068249/
物质生活,7.9,https://book.douban.com/subject/2147647/
罗辑思维,7.2,https://book.douban.com/subject/25745691/
你当温柔，却有力量,7.4,https://book.douban.com/subject/20480681/
味道·味觉现象,8.0,https://book.douban.com/subject/20499677/
痛快日记,8.2,https://book.douban.com/subject/1341035/
风下之乡,8.5,https://book.douban.com/subject/26701711/
有关品位,7.6,https://book.douban.com/subject/1483285/
寡人,7.8,https://book.douban.com/subject/6796987/
不过，一场生活,7.0,https://book.douban.com/subject/26335158/
为什么读书,7.1,https://book.douban.com/subject/10679501/
村上广播,7.7,https://book.douban.com/subject/10282578/
永玉六记·珍藏版,9.2,https://book.douban.com/subject/25727153/
